EN	CN
Gaulauntyr "Glorytongue"	“壮观之舌”葛兰提尔
Gauntlgrym	刚特格瑞姆
Gauros	迦劳斯省
Geb	盖伯
Gelatinous Cube	胶质怪
gems of Faerun	费伦的宝石
genasi	元素后裔
Gender	性别
Gerti Orelsdottr	格蒂·奥廖尔丝多特
Gestation Tube	孵化管
Ghaele of Winter	冬霜迦勒
Ghaunadaur	关纳德
Gheldaneth	盖勒丹司城
Ghost	幽魂
Ghost Holds	幽灵城堡
ghostwise halflings	鬼智半身人
Ghoul	食尸鬼
Ghoul King	食尸鬼王
Giant	巨人
Giant Mummy	巨型木乃伊
Giant Rat	巨鼠
Giant spider	巨型蜘蛛
Giant's Chalice	巨人之杯
Giant's Run Mountains	巨人奔跑山脉
Giantspires	巨人之脊
Gibbering Abomination	呓语憎恶
Gibbering Beast	呓语怪
Gibbering Mouther	呓语之口
Gibbering Orb	呓语之球
Gibdraw	吉布卓河
Gildenglade	吉尔丹雷德
Githyanki	吉斯洋基人
Githyanki Gish	吉斯洋基尖兵
Githyanki Mindslicer	吉斯洋基切念者
Githyanki Warrior	吉斯洋基战士
Githzerai	吉斯泽雷人
Githzerai Cenobite	吉斯泽雷修道士
Githzerai Mindmage	吉斯泽雷意念师
Githzerai Zerth	吉斯泽雷泽斯
Glabrezu	迷诱魔
Glacier of the White Worm	白蠕虫冰川
Glaemril	格莱姆瑞
Glaun Bog	格劳恩泥沼
Glen	幽谷村
Glumguts	愁肠
Gnoll	豺狼人
Gnoll Claw Fighter	豺狼人利爪斗士
Gnoll Demonic Scourge	豺狼人恶魔鞭笞者
Gnoll Fang	豺狼人獠牙兵
Gnoll Huntmster	豺狼人狩猎师
Gnoll Marauder	豺狼人掠夺者
Gnome	侏儒
Gnome Arcanist	侏儒奥术师
Gnome Skulk	侏儒匿行者
gnomes	侏儒
Goblin	地精，地精语
Goblin Blackblade	地精黑刃杀手
Goblin Cutter	地精剑士
Goblin Hexer	地精巫师
Goblin Sharpshooter	地精精准射手
Goblin Skullcleaver	地精头骨切裂者
Goblin Underboss	地精小头目
Goblin Warrior	地精战士
God	神
god of Knowledge	知识之神
Goddess of Wealth	财富女神
Godforged　Colossus	神造巨像
Gold Dwarf	黄金矮人
gold dwarves	黄金矮人
Golden Plains	金色平原
Golden Way, the	黄金之路
Goldenfields	金色原野
Golem	魔像
Goliath	歌利亚
Gommoth	哥莫斯
Gond	贡德
Gorgon	石化牛
Goristro	角魔
Gorm Gulthyn	贡温·葛辛
Gothwan Cooper	格斯万·库帕
government	政体
Gracklstugh	格莱克斯图格
Grand Disciple	大侍僧
Grandfather Tree	始祖之树
Gravehound	僵尸犬
gray dwarves	灰矮人
Gray Forest, the	灰色森林
Gray Slaad (Rift Slaad)	史拉灰蟾（裂隙史拉蟾）
Gray Wolf	灰狼
Graycloak Hills	灰斗篷山
Graycloaks	灰斗篷
Graypeak Mountains	灰峰山脉
Great Axe	巨斧
Great Cavern	大溶洞
Great Dale, the	巨谷
Great Flameskull	高级烈焰骷髅
Great Forge	大熔炉
Great Glacier	巨大冰川
Great Halls	大殿
Great Hammer	巨锤
Great Rift, the	大裂隙
Great Sea, the	巨海
Great Sword	巨剑
Great Tower	主塔
Great Weapon Fighter	巨武斗士
greater deity	上等神力
Greater Helmed Horror	强力恐怖铠甲
green elves (see wild elves)	绿精灵（参见野精灵）
Green Fields	绿色原野
Green Lands, the	翠绿沃野
Green Slaad (Curse Slaad)	史拉绿蟾（诅咒史拉蟾）
Greengrass	青草节
Greenscale Darter	绿鳞飞镖手
Greenscale Hunter	绿鳞猎手
Greenscale Marsh Mystic	绿鳞沼泽秘法师
Grell	触须怪
Grell Philosopher	触须怪曲心师
Grey Wolf	灰狼部落
Grick	穴居攫怪
Grick Alpha	穴居攫怪头领
Griffon	狮鹫
Griffon's Nest	狮鹫之巢
Grimlock	石盲蛮族
Grimlock Ambusher	石盲蛮族伏兵
Grimlock Berserker	石盲蛮族狂战士
Grimlock Follower	石盲蛮族跟班
Grimlock Minion	石盲蛮族杂兵
Group Awareness	团体警觉
Group Diplomacy	团队交涉
Group Insight	团体洞察
Grumbar	格隆巴
Gruumsh	格乌什
Guard Drake	守卫龙兽
Guard Towers	瞭望塔
Guardian	守卫者
Guardian Fighter	守护战士
Guardian Naga	纳迦守卫
Guardian's Lake	守护者之湖
guild thief	公会盗贼
Gulthmere Forest	葛斯梅尔森林
Gurt	戈尔特
Guulvorg	战斗座狼
Gwaeron Windstrom	格维纶·流风
Gwynneth	关耐斯
Hadrhune	哈杰霍纳
Haela Brightaxe	海拉·明斧
Hag	鬼婆
Hal the Henchman	侍从 哈尔
Halagard	哈拉迦德
Halarahh	哈拉雅赫
Halas	哈拉斯
Halaster Blackcloak	海拉斯特·黑袍
half-elf	半精灵
half-elves	半精灵
Halfling	半身人
Halfling Agility	半身人之迅捷
Halfling Prowler	半身人毛贼
Halfling Slinger	半身人投石手
Halfling Stout	半身人壮士
Halfling Thief	半身人盗贼
halflings	半身人
half-orcs	半兽人
Hall of Ashen Mirrors	尘镜长廊
Hall of Justice	正义殿
Hall of Petition	请愿大厅
Halls of Four Ghosts	四鬼之厅
Halls of Madness	疯狂大厅
Halls of the Guardian	卫士殿
Halls of the Hammer	锤厅
Halruaa	哈鲁阿
Hamlet	村庄
Hammer and Anvil	锤钻市集
Hanali Celanil	哈娜丽·克拉妮尔
Hap	好运村
Haptooth Hill	好运之牙山脉
Harbor Master	港务长
Harmony of Erathis	伊拉西斯之契合
Harper	竖琴手
Harper Agent	竖琴手特工
Harper scout	竖琴手斥侯
Harpers, the	竖琴手同盟
Harpy	鹰身鸟妖
Harrag	哈拉格
Harrowdale	耕谷
Hat of Disguise	易容帽
Hathor	哈索尔
hathran	哈斯兰女巫
Haunted Halls of Eveningstar	晚星镇的闹鬼厅
Haunted Pier	亡灵码头
Hawthidon	豪斯顿
Hazel	黑泽尔
Hazuk Mountains	哈祖克山区
Heal	医疗
Healer's Lore	医疗者学识
Healing	医疗
Healing Hands	治愈之手
Healing Surge	复原力
healing word	治愈真言
Heartlands, the	哈特兰德
Heartward	心扉广场
Height	身高
Heir of Delzoun	德尔荣后裔
Heirs of Azure	碧空之子
Heliogabalus	海里奥加巴鲁斯
Hell Hound	地狱猎犬
Hellfire Blood	泰夫林
Hellgate Keep	地狱门堡
Hellstinger Scorpion	地狱螫刺蝎
Hellthorn	地狱之刺
Helm	海姆
Helmed Horror	恐怖铠甲
Helm's Cathedral	海姆大教堂
Helm's Hold	海姆修道院
Herman	赫尔曼
Heroes' Tomb	英雄之墓
Heroic	英雄
Hestavar	赫斯塔瓦
Hex Locus	妖法之核
Hezrou	狂战魔
Hidden House	隐藏之屋
Hidden Shrine	秘密祭坛
Hidden Vale	隐秘谷
hierophant	大祭司
High Castle	高堡
High Country, the	至高之地
High Dale	高谷
High Forest, the	至高森林
High Ice, the	至高冰川
High Moor, the	至高荒原
High priestess Syndryth	大祭司辛德瑞丝
High Road	大公路
High Tower of Thalivar	萨里瓦之塔
Highcastle	高堡镇
Highharvestide	丰收节
Highmoon	高月城
Highstar Lake	远星湖
Hill Giant	山岭巨人
Hill's Edge	山边镇
Hillsfar Hall	远山厅
Hillsfar	远山
Hippogriff	鹫马
Hippogriff dreadmount	鹫马恐怖战骑
History	历史
Hit	命中
Hit Point	生命值
Hlammach	拉玛契
Hlath	拉斯
Hlaungadath	哈劳格达斯城
Hlondath	哈伦达斯
Hlondeth	隆德斯
Hluthvar	赫鲁斯瓦
Hoar	霍尔
Hobgoblin	大地精
Hobgoblin Archer	大地精弓手
Hobgoblin Commander	大地精指挥官
Hobgoblin Grunt	大地精步兵
Hobgoblin Hand of Bane	大地精班恩之手
Hobgoblin Soldier	大地精卫士
Hobgoblin Warcaster	大地精战巫
Hobgoblin Warrior	大地精战士
Hold in the World	世界之洞
Holdfast	坚堡
Holy Symbol	圣徽
Homunculus	赫蒙克鲁斯
Hook Horror	恐爪兽
Horde Ghoul	群落食尸鬼
Hordelands, the	游牧之地
Horse	马
Horsefields, the	奔马平原
Horus-Re	荷鲁斯-瑞
Hospitaler	医护圣卫
Hosttower of Arcane	大奥法塔
Hound	猎犬
House Jaelre (drow)	杰勒家族（卓尔精灵）
House of a Thousand Faces	千面家园
House of Knowledge	知识之殿
House of Screams	尖叫之屋
House of Stone	石屋
House Xorlarrin	索拉林家族
Howling Hag	尖叫鬼婆
HP	生命值
Hrimnir	瑞姆尼尔
Huge City	巨城
Hullack Forest	胡雷克森林
Human	人类
Human Bandit	人类强盗
Human Berserker	人类野蛮人
Human Guard	人类守卫
Human Lackey	人类侍从
Human Mage	人类法师
Human Rabble	人类暴民
humans	人类
Hungry Flame	饥饿火焰
Hydra	多头蛇蜥
Hyena	鬣狗
Ice Archon Frostshaper	寒冰亚空塑霜者
Ice Archon Hailscourge	寒冰亚空雹笞者
Ice Archon Rimehammer	寒冰亚空霜锤使
Ice Devil (Gelugon)	冰魔（奇鲁魔）
Ice Run glacier	流冰冰川
Icehammer	冰锤
Icelace Lake	冰带湖
Icespire Peak	冰塔峰
Icewind Dale	冰风谷
Identify	鉴定
Ilipur	伊里普
Iliyanbruen	伊利延布伦
Iliyanbruen Guardian	伊利延布伦卫士
Iljak	伊尔加克
Illefarn	伊尔法郎
Illithid	灵吸怪
Illusion	幻术
Illusk	伊路斯坎
Ilmater	伊尔美特
Ilmeth's Manor	伊尔梅斯庄园
Ilneval	依那伏
Iltkazar	伊卡沙
Imaskar	伊马斯卡
immediate interrupt	直觉打断
immediate reaction	直觉反应
Immersea	沉海镇
Immil Vale	依米尔谷
Immilmar	依米尔玛
Immolith	轮回魔
Imp	小魔鬼
Impiltur	因布图
Implement	法器
Infernal Wrath	炼狱之怒
Initiative	先攻权
Innarlith	英那利斯
Inner Fort	中心要塞
Inner Sea (see Sea of FallenStars)	内海（见坠星海）
Inner Vault	内部墓室
Inscription	铭文
Insight	洞察
Insignia	徽章
Inspiring Warlord	振势督军
musical instrument	乐器
Intelligence	智力
intermediate deity	中等神力
Intimidate	威吓
Invocation	祈祷
Iokharic	洛克哈瑞克文
Ioulaum	伊奥勒姆
Ioun	艾恩
Iriaebor	伊利亚巴
Iron Cobra	铁之眼镜蛇
Iron Defender	铁之防卫者
Iron Fist	铁拳
Iron Fortress	钢铁要塞
Iron Gorgon	铁石化牛
Iron Heart	钢铁之心
Iron Keep	铁堡
Iron Tabernacle	钢铁圣所
Iron Throne	铁王座
Iron vanguard	先锋铁卫
Ironfang Keep	铁齿堡
Ironguard	铁卫
Ironspur	铁刺
Isis	伊西斯
Island Kingdoms	岛国
Isma Lecere	伊斯玛·勒希尔
Istishia	伊斯提悉亚
Jagged Pits	锯齿坑道
Jalanthar	贾兰萨
Jarlaxle	贾拉索
Jawbone	颚骨
Jergal	耶加尔
Jewel of the North	北域明珠
Jezz the Lame	跛子杰兹
Jhaamdath	札姆达斯
Juetta	尤耶塔
Jundarwood	瘴达森林
jungles of Chult	楚尔特丛林
Justiciar	审判圣骑
Kallos Tam	卡洛斯·坦
Kara-Tur	卡拉—图
Karrundax	卡伦达克斯
Katrice Ansar	卡翠丝·安萨尔
Kayliss	凯利斯
Keczulla	克祖拉
Kelemvor	凯兰沃
Kensei	剑圣
Khalia	卡丽娅
Khelben Arunsun	凯尔本·奥罗桑
Khelben Blackstaff	凯尔本·黑杖
Kholzourl	科尔佐尔
Kiaransalee	齐雅兰纱丽
Kimmuriel Oblodra	基穆列尔·奥普洛达
King Obould Many-Arrows	国王 奥伯德·众箭
King that Crawls	邪神
Kingdom of Man	人类王国
kingdoms	王国
King's Forest	王者之森
King's Road	国王之路
kir-lanan	基尔-拉南
Klauth	克劳斯
Knight commander	骑士长
Knox	诺克斯
Kobold	狗头人
Kobold Dragonshield	狗头人龙盾侍卫
Kobold Minion	狗头人杂兵
Kobold Skirmisher	狗头人游击兵
Kobold Slinger	狗头人投石兵
Kobold Slyblade	狗头人偷袭者
Kobold Wyrmpriest	狗头人龙纹祭司
Kolthunral	科尔松拉
Kord	寇德
Korvina	科尔维娜
Kossuth	柯苏斯
Krag Foultoooth	克拉格·腐牙
Kraken Society	海妖社团
Kraken Tunnels	海妖隧道
Kruthik	地刺虫
Kruthik Adult	地刺成虫
Kruthik Hatchling	地刺幼虫
Kruthik Hive Lord	地刺虫虫群王
Kruthik Young	地刺若虫
Kuo-toa	寇涛鱼人
Kuo-toa Guard	寇涛鱼人守卫
Kuo-toa Harpooner	寇涛鱼人鱼叉手
Kuo-toa Marauder	寇涛鱼人掠夺者
Kuo-toa Monitor	寇涛鱼人监查者
Kuo-toa Whip	寇涛鱼人鞭督
Labelas Enoreth	拉贝拉斯˙艾诺瑞斯
Labyrinth, the	地下迷宫
Laduguer	拉杜格
Lady of Pain	痛苦女士
Lair of Karrundax	卡伦达克斯巢穴
Lair of the Mad Dragon	疯龙巢穴
Lair of the Pirate King	空贼王老巢
Lake Ashane	阿森湖
Lake Eredruie	艾瑞德如耶湖
Lake Esmel	艾斯米尔湖
Lake Halruaa	哈鲁阿湖
Lake Lhespen	雷哈斯本湖
Lake of Steam	蒸汽之湖
Lake Sember	塞伯湖
Lake Thaylambar	塞尔蓝柏湖
Lamantha	拉曼萨
Lamantha's Mortuary	拉曼萨的太平间
Lamia	拉米亚
Landrise, the	大地阶梯
Lands of Intrigue	阴谋之地
languages	语言
Lapaliiya	拉帕利亚
Lapendrar	拉潘德拉
Large City	大城
Large Town	大镇
Larva Mage	蠕虫法师
Last Redoubt	背水堡垒
Lathander	洛山达
Laughing Hollow	欢笑谷
Lawful Evil	守序邪恶
Lawful Good	守序善良
Lawful Neutral	守序中立
Leader	领导者，头目
learning	学习
Leather Armor	皮甲
legion devil	军团魔
Legion Devil Grunt	军团魔步兵
Legion Devil Hellguard	军团魔地狱守卫
Legion Devil Legionnaire	军团魔精兵
Legion Devil Veteran	军团魔老兵
Leilon	雷隆镇
Len-je	冷夜
lesser deity	弱小神力
Letherna	莱得纳宫
Lethyr, Forest of	莱斯尔森林
Leuthilspar	琉希帕城
Level	等级
level adjustment	等级调整
Lhaeo	莱奥
Lheshayl	利夏尔
Lhesper	雷哈斯本遗迹
Liardfolk	蜥蜴人
Lich	巫妖
Eladrin Wizard	雅灵法师
Human Wizard	人类法师
Lich Vestige	巫妖遗骸
Lieutenant Trell	特雷尔中尉
Life-stealer	窃命师
lightfoot halflings	轻足半身人
Lightning	闪电
Liset Cheldar	丽赛特·切尔达
Lizard Marsh	蜥蜴沼泽
Lliira	黎尔拉
Llorkh	洛克镇
Lluirwood	落叶林
Lolth	罗丝
Lonely Moor	孤寂荒原
Lonely Tower	孤寂之塔
Long Forest	长森
Longsword	长剑
Longsword & Shield	剑盾
Longtooth Hunter	长牙猎手
Lord of Hell	地狱之主
Lord of the Pale Giants	灰巨人领主
Lord of the Undead	死灵领主
Lord Protector	护国公
Lords' Alliance	领主联盟
Lords of Waterdeep	深水城领主
Loremaster Atlavast	博学士阿特拉瓦斯
Lorragauth	洛尔拉高斯
Lost Peaks	失落之峰
Loudwater	喧水城
Loviatar	劳微塔
Lowroad	深渊之路
Lucan Greenharrow	鲁坎·绿耙
Luiren	鲁伦
Lurker	伏兵
Lurkwood	潜藏森林
Lurue	拉芮
Luskan	路斯坎
Luthcheq	鲁斯奇夸城
Luthic	茹赛可
Lycanthrope	兽化人
Lylorn	来洛恩
Lyrabar	罗勒芭
Lyrar's Hold	利拉要塞
Macetail Behemoth	锤尾比蒙
Mad Wraith	疯狂缚灵
Madame Rosene	罗塞妮夫人
Maegera the Inferno	地狱火美格拉
Maerin	麦林
mage fair	法师博览会
mage runes	法师符文
Magic Item	魔法物品
magic items	魔法物品
Magister, the	传道法师
Magma beast	岩浆兽
Magma Brute	岩浆冷酷者
Magma Claw	岩浆之爪
Magma Hurler	岩浆投掷者
Magma Strider	岩浆阔步者
Magocracy	魔法政体
Malar	马拉
malaugrym	玛拉葛瑞姆变形者
Man of the Basilisk	石化蜥蜴之人
Manshoon	曼松
Manticore	蝎尾狮
Many-Arrows	众箭
Many-Arrows Tribe	众箭部落
Many-Arrows Kingdom	众箭王国
Marching Mountains	行进山脉
Marilith	六臂蛇魔
Marsember	玛杉柏
Marsh of Chelimber	彻里姆巴沼泽
Marsh of Tun	图恩沼泽
Martek's Tomb	玛泰克之墓
Marthammor Duin	马瑟摩˙杜温
Martial	武力
Marut	神使
Marut Blademaster	神使剑术师
Marut Concordant	衡律神使
Mask	马斯克
Masked Lord	假面领主
Master infiltrator	潜行大师
masters and apprentices	大师和学徒
Maztica	马兹特克
Meander's Road	蜿蜒之路
Medusa	美杜莎
Medusa Archer	美杜莎弓手
Medusa Shroud of Zehir	美杜莎蛇神护卫
Medusa Warrior	美杜莎战士
Melee	近战
Melora	梅洛拉
Melvaunt	梅尔沃特
Memnon	曼农
Menzoberranzan	魔索布莱城
Mere of Dead Men	亡者沼泽
Merrisara Winterwhite	梅丽萨拉·冬洁
Merrydale	欢乐谷
Meryth	美瑞斯
Messemprar	马瑟普拉
Meteor Tubes	陨星管道
Methmere	米司湖
Methwood	米司森林
Metropolis	都市
Mezro	麦兹罗
Mezzodemon	梅佐虫魔
Mhair Jungles	姆海尔丛林
Midsummer	仲夏节
Midwinter	仲冬节
Mielikki	梅莉凯
Miklos Selkirk	米克罗斯·塞尔科克
Milil	密黎尔
Mimph	明菲
Mind Flayer	夺心魔
Mind Flayer Infiltrator	夺心魔渗透者
Mind Flayer Mastermind	夺心魔主宰
Minion	杂兵
minor action	次要动作
Minotaur	牛头人
Minotaur Cabalist	牛头人秘术师
Minotaur Warrior	牛头人战士
Mintar	明塔
Mintarn	明塔恩
Mirabar	米拉巴
Mirt	穆特
Mishtan	米虚坦城
Miss	失手
Mistledale	迷雾谷
Misty Forest	迷雾森林
Misty Vale, the	迷雾山谷
Mithril Hall	秘银厅
Miyeritar	麦叶理塔
Modifier	调整值
Monarchy	君主政体
monastic orders	武僧僧院
monk class	武僧
monster levels	怪物等级
Monster Manual	怪物手册
Moon Elf	月精灵
moon elves	月精灵
Moon Hills	月亮山脉
Moondale	月谷
Moonrise Hill	月出丘陵
Moonsea, the	月之海
Moonshadow Hall	月影神殿
Moonshae Isles	月影岛
Moonstars	月星
Moonstone	月石
Moonstone Mask	月石面具
Moonwood, the	月之森
Moradin	摩拉丁
Moray	莫雷
Mordai Veil	莫尔代·维尔
Mordant Hydra	酸蚀蛇蜥
Morgred	莫格德
Morgur	莫格
Morgur's Mound	莫格高地
Mortick Swamp	莫提克沼泽
Mosstone	藓石镇
Mount	坐骑
Mount Hotenow	霍特诺火山
Mount Talath	塔拉斯山
Mount Thalagbror	泰拉格布拉山
Mountains of the Alaoreum	阿劳瑞姆山脉
move action	移动动作
overland movement	陆上移动
Mucklestones, the	多石阵
Mulhorand	穆尔霍兰德
Mulmaster	穆尔玛斯特
Mulptan	木尔埔坦
Mulsantir	莫杉提尔
Multiclass Feat	兼职专长
Mummy	木乃伊
Mummy Guardian	木乃伊守卫
Mummy Lord	木乃伊首领
Murann	穆兰
Murghom	穆洪
musical instruments	乐器
Mussum	穆斯姆
Myratma	迈拉特玛
Myrloch Vale	秘湖谷
Mystra	密斯特拉
Myth Drannor	米斯卓诺
Myth Rhynn	迷斯莱恩
Mythallar	密瑟能核
mythals	迷锁
Nabassu Gargoyle	纳巴斯石像鬼
Naga	纳迦
Nagawater	纳迦湖
Nameless Dungeon	无名地城
Faerunian names	费伦人名
Narfell	纳斐尔
Nasher	纳西尔人
Nasher Alagondar	纳西尔·阿拉贡达
Nature	自然
Necromancy	亡灵巫术
Necrotic	黯蚀
Needlefang Drake Swarm	针齿龙群
Nelanther Isles	耐兰瑟尔群岛
Neldorild	涅朵瑞德城
Nentir River	南提尔河
Nephthys	奈芙提斯
Nether Mountains	耐色山脉
Nether Scrolls	耐色卷轴
Netherese	耐色瑞尔人，耐色瑞尔的
Netheril	耐色瑞尔
Neutral	绝对中立
Neutral Evil	中立邪恶
Neutral Good	中立善良
Neverdeath	无亡墓园
Neverneath	无底地宫
Neverwinter	无冬城
Neverwinter Docks	无冬码头
Neverwinter Nine	无冬九卫
Neverwinter Noble	无冬城贵族
Neverwinter River	无冬河
Neverwinter Wood	无冬森林
New Gate	新城门
New Marketplace	新市场
New Neverwinter	新无冬
New Olamn	新奥拉姆
Night Hag	夜鬼婆
Night Masks	暗夜面具
Nighthawk Tower	夜鹰塔
Nightmare	梦魇
Nightwalker	伏形夜影
Nimble Reaction	敏捷反应
Nimbral	宁布拉尔
Nimor Ironvice	尼莫尔·铁钳
Nimpeth	宁佩斯
Nine Hells	九层地狱
Ningal	妮加
Nobanion	努比恩
Nonthal	南萨
Normal	正常
North	北域
North Country, the	北方之地
North, the	北地
Northdark	幽暗地域北部
Nothic	诺斯克
Novularond mountain range	诺弗拉隆山脉
Nyth	尼斯
Observatory	瞭望台
Obsidian Ziggurat	黑曜石神塔
Ochre Jelly	赭冻怪
Oghma	欧格玛
Oghma's Faithful	欧格玛信徒
Oghrann	奥格兰
Ogre	食人魔
Ogre Bludgeoneer	食人魔砸击者
Ogre Savage	食人魔野蛮人
Ogre Skirmisher	食人魔散兵
Ogre Thug	食人魔暴徒
Ogre Warhulk	食人魔战争巨汉
Old Dirty Dwarf	老矮人酒馆
Old Empires, the	古老帝国
Old Gate	老城门
Old Market	老市场
Old Owl Well	老鸮之泉
Old Owlbear Well	老鸮熊之泉
Old Skull	老头骨山
Old Skull Inn	老头骨酒馆
Olirien Mistcrown	奥利瑞恩·雾冠
Olostin's Hold	奥洛斯丁堡
Omdros	奥姆卓斯
Omlarandin Mountains	欧姆拉兰丁山脉
One-Eyed God	独眼神
Oni	恶鬼
Oni Mage	恶鬼法师
Oni Night Haunter	恶鬼暗夜行者
Ooze	泥型怪物
Open Lord	真容领主
Orb	法珠
Orc	兽人
Orc Archers	兽人弓箭手
Orc Berserker	兽人狂战士
Orc Bloodrager	兽人血狂者
Orc Chieftain	兽人酋长
Orc Drudge	兽人苦力
Orc Eye of Gruumsh	兽人格乌什之眼
Orc March	兽人远征
Orc Raider	兽人掠夺者
Orc Warrior	兽人战士
Orcgate Wars	兽人之门战役
Orcus	奥尔库斯
Order of the Blue Fire	蓝焰骑士团
Order of the Blue Flame	蓝焰骑士团
Ordulin	欧杜林
Ormath	奥玛斯
Ormpetarr	奥姆派塔尔
Ormshas	欧姆萨斯
Orsraun Mountains	欧司朗山脉
Orthinos Eln	奥尔西诺斯·艾恩
Oryndoll	奥灵多尔城
Osiris	奥西里斯
Ossuary	藏骨库
Otyugh	食腐怪
Outer Chamber	外围宫殿
outer planes	外层位面
Owlbear	枭熊
Pack Outcast	狼群浪人
Paladin	圣武士
paladin class	圣武士
paladin orders	圣武士团
Palas	帕拉斯
Palischuk	帕利舒克
pantheons	神系
Panther	黑豹
Paragon	典范
Paragon Multiclassing	典范兼职
Paragon Path	典范之道
Pathfinder	斥候护卫者
patron deities	信仰神祇
Peaks of Flame	火焰峰
Peldan's Helm	派尔汀之盔
Pelor	培罗
Penalty	减值
People of the Black Blood	黑血之民
Perception	侦查
Personal	自身
phaerimms	费林魔葵
Phalorm	费勒姆
Phane	费阿尼
Phantom Warrior	幽魂战士
Phlan	菲兰
Phoenix	凤凰
Phsant	菲珊特
Piniwin	皮尼文
Pirate Isles	海盗群岛
Pirate’s Skyhold	海盗飞空堡
Pirates' Skyhold	海盗飞空堡
Pit Fiend	深狱炼魔
Pit fighter	深渊斗士
plaguechanged	疫变
Plaguechanged Warrens	疫变巢穴
Plaguefire	疫焰
Plain of Standing Stones	立石平原
Plains of Purple Dust	紫尘平原
Plane	位面
Plane of Shadow	阴影位面
planes of existence	现实位面
planetouched	神魔裔
Plateau of Thay	塞尔高原
Platemail	板甲
Player	玩家
Pleased	愉悦
Plutocracy	富豪统治
Poison	毒素
Polymorph	变形
Pool of Daylight	昼耀之池
Port Llast	终北港
Port Nyanzaru	南扎路港
portals	传送门
Power	威能
Power Slot	威能栏
Power Source	威能本源
Power, the	神力
powerful races	强力种族
Praddak	普拉达克
preferred regions	首选地区
Premordial	荒神
Prerequisite	先决条件
Priador	普来亚铎省
Primordial Hydra	原祖蛇蜥
Primordial Naga	原祖纳迦
Prince of Shade	影之王子
Prison of Night	夜之牢狱
Procampur	普罗坎普
Proficiency	擅长
Pros	普罗斯
Proskur	波斯库
Protecting Paladin	守护者
Protector's Enclave	护国公领地
Pseudodragon	伪龙
psionics	心灵异能
Psychic	心灵
Purple Dragon knight	紫龙骑士
Purple Dragon Knights	紫龙骑士团
Purple Dragons	紫龙
Purple Halls	紫色大厅
Purple Worm	紫虫
Purskul	普苏
Pyarados	派雅拉铎省
Qalthus	卡尔苏斯
Quaervarr	奎而瓦
Quartermaster	军需官
Quartermaster Elmor	军需官 艾尔默
Quickling	快可灵
Quickling Runner	快可灵疾行者
Quickling Zephyr	快可灵风行者
Quorthon	寇尔松
Qurth Forest	奎斯树林
Race	种族
races	种族
Racial Feat	种族专长
Radiant	光耀
Radiant servant	圣光神使
Rage Drake	狂怒龙兽
Rage of Dragons	巨龙之怒
Rakshasa	罗刹妖
Rakshasa Archer	罗刹妖弓手
Rakshasa Assassin	罗刹妖刺客
Rakshasa Dread Knight	罗刹妖恐怖骑士
Rakshasa Noble	罗刹妖贵族
Rakshasa Warrior	罗刹妖战士
Ranged	远程
Ranger	游侠
ranger class	游侠
Ranger's Camp	游侠营地
Rarity	稀有度
Rashemen	莱瑟曼
Rat	老鼠
Rat Swarm	鼠群
Raumathar	洛曼萨
Raurin	落湮沙漠
Rauthauvyr's Road	罗萨维尔之路
Rauvin Mountains	瑞汶山
Raven Queen	鸦后
Ravens Bluff	渡鸦崖
Rawlinswood	罗林斯森林
Razorclaw Stalker	刃爪尾行者
Reaching Woods	河岸森林
Red Dragon	红龙
Red Knight	殷红骑士
Red Slaad (Blood Slaad)	史拉红蟾（烈血史拉蟾）
Red Wizard	红袍法师
prestige class	进阶职业
Reddansyr	瑞丹席尔
Redspawn Firebelcher	红龙末裔织焰者
Refining	精炼
Refugee Camp	难民营
regions	地区
Reliable	必击
Relic Hunt	圣物搜索
Religion	宗教
Relkath's Foot	瑞卡之足
Rellanic	瑞拉尼克文
Relsforin	瑞斯弗林
Renault Abrecht	雷诺·阿布雷赫特
Renegade Red Wizard	叛逆红袍法师
Requirement	必要条件
Resource	资源
Respec	重置属性
Reth	雷斯
Rethild	累腥泽
Reticle	准星
Retrain	重训
Retreat, the	大撤退
Returned Abeir	回归的阿贝尔
Rhauntides's Tower	劳恩泰茨之塔
Riatavin	瑞塔汶
Ride, the	戎马草原
Riders to the Sky	御宇山脉
Riding Horse	骑乘用马
Riftedge Towers	谷界哨塔
Riftlake, the	裂谷湖
Rilitha	利丽萨
Rillifane Rallathil	瑞里芬˙莱勒席尔
Rimefire Griffon	霜焰狮鹫
Ritual	仪式
Ritual Casting	仪式施法
River Ardulith	昂杜理斯河
River Chionthar	冲萨河
River Dessarin	德沙林河
River District	河畔区
River Duathamper	杜萨珀河
River Morgur	莫格河
River of Flame	火焰之河
River Shaar	夏亚河
River Shaelyn	雪粼河
Roc	大鹏
rock gnomes	岩侏儒
Rockfire Dreadnought	熔岩无畏者
Rod	权杖
Rohini	罗希妮
Role	职能
Roll	翻滚
Roper	树绳妖
Rot Harbinger	腐烂先驱者
Rot Scarab Swarm	腐败圣甲虫群
Rot Slinger	腐烂投掷者
rothe	罗斯
Rothe Valley	罗思山谷
Rotwing Zombie	腐翼僵尸
Rsolk	索尔克
Ruathym	罗瑟姆岛
Ruined Terrain	荒废街区
Rundeen, the	朗丁商会
rune magic	符文魔法
runecaster	符文师
Runescribed Dracolich	符纹龙巫妖
Runestone	符文石
rural life	乡村生活
Ryxfith	莱什菲斯
